label,country,city,dataset,provider,application,name,url,github,domain,title,desc,reading
1,乌干达,,香蕉树枯萎症传播投票数据集：地理位置，是否有疫情，投票者年龄，投票者性别,众包,产出统计结果，创建可视化,,,,农业,开放众包数据，应对乌干达香蕉树枯萎症,香蕉是乌干达人民主要食物之一（人均每天700g）橡胶树枯萎症疾病在乌干达的蔓延情势不透明及时，从而无法让人有效应对。通过该服务，190000 乌干达人民能够在5天内及时收到相关疫情消息，从而通过SMS了解应对方式，减少损失$360M一年,http://www.theguardian.com/global-development-professionals-network/2015/feb/11/open-data-how-mobile-phones-saved-bananas-from-bacterial-wilt-in-uganda
2,肯尼亚,,学校地理位置数据集：学校名称，学校地理位置,政府,创建可视化,open schools kenya,http://schools.mapkibera.org/,,教育,用开放数据描绘肯尼亚的教育现状,肯尼亚一直以来缺失必要的教育资源从而很多孩童都面临着失学。在盖茨梅林挞基金会的协助下，多个NGO共同合作开发了open schools kenya，将肯尼亚地区的教育资源描绘出来，并将相应数据开放给社会，从而期望通力协作共同基于现状去有计划地改善肯尼亚教育现状。,http://groundtruth.in/2014/07/09/making-education-information-available-to-all-in-kibera/
3,坦桑尼亚,,2004-2013 Form 4 考试成绩：考试中心名称、考生姓名、考生性别、考生年级、考生考试科目、考试总积点,政府,创建可视化,Shule.info,Shule.info,,教育,开放教育数据，挽救坦桑尼亚教育系统,坦桑尼亚的整体教育系统处于危机边缘：大量学生无法通过考试，缺乏书本和教师，教学效果差。对于想要寻找好学校的家长和希望投入资源提升教育质量的决策者而言，目前只有碎片化的数据可以参考。Shule.info 提供一站式的数据平台，将相应开放的教育绩效资源提供给大众，帮助大众更好监督教学成果，挑选优秀教育资源。,http://education.okfn.org/open-education-tanzania/
9,美国,路易维尔,建筑物地理位置库包含建筑名称，其具体地理座标，地址,政府,提升现有服务或App,Nearby Explorer,https://play.google.com/store/apps/details?id=org.aph.avigenie,,交通出行,用开放建筑数据为盲人提供出门地图,视力受损或残疾的人士出门在外希望了解周边的环境并得到方向指引，政府开放的建筑物数据库可以帮助开放更好的街道导航系统来服务这一人群。,http://www.civicdataalliance.org/gis-open-data-american-printing-house-open-street-map/
10,美国,新奥尔良,城市衰退检查、听证、拆除等事件数据集，包含了地址、处理人、处理结果等信息，具体数据集见 http://nola.gov/performance-and-accountability/initiatives-and-reports/blightstat/methodology/,政府,创建App,blightstatus,http://blightstatus.nola.gov,,城市建设,应对城市枯萎，开放数据赢回公众信任,城市枯萎（衰退）指的是城市或其一部分因为城市经济转型、人口迁移等原因进入了衰退荒废的状态，从而导致房屋高空置率、犯罪率上升、经济衰退、高失业率等一系列问题。blightstatus则通过 web app 让公众追踪目前市政府针对城市枯萎的应对和处理，提升了政府透明度和政府-市民共建的可能性。,http://www.citylab.com/cityfixer/2015/04/3-cities-using-open-data-in-creative-ways-to-solve-problems/391035/
11,美国,旧金山,餐厅卫生检查等级数据集包含了餐厅名称，检查结果等级等信息,政府,提升现有服务或App,yelp,yelp.com,,食品安全,让民众吃的放心，Yelp和旧金山开放数据的结合,餐馆食品安全问题如何能够在选择美食时即告知消费者。旧金山提供相应数据和Yelp整合，使得人们在搜索美味餐厅的时候便能知道该餐厅的卫生情况，避免食物中毒等问题。2014年，新奥尔良市政府宣布自2010年起他们已经降低城市枯萎率30%,http://www.npr.org/blogs/thesalt/2015/03/27/395622262/did-that-restaurant-pass-its-health-inspection-now-yelp-will-tell-you
12,美国,Louisville,空气质量数据集,政府,提升现有服务或App,,,,医疗,开放空气质量数据，绘制呼吸健康地图,该城市空气质量环境对于有呼吸道疾病的人并不友好，因此市政府和企业合作，在呼吸喷雾器中植入GPS装置，追踪人们在何处会要使用吸入器，绘制出喷雾器使用热点地图，再和空气质量数据交叉对比，从而了解空气质量治理重点区域以及对应医疗策略。,http://www.citylab.com/cityfixer/2015/04/3-cities-using-open-data-in-creative-ways-to-solve-problems/391035/
13,澳大利亚,,垃圾倾倒点及时间安排,政府,创建App,openbinmap,http://www.openbinmap.org/,https://github.com/okfnau/binsmap,民生服务,倒垃圾啦！开放数据服务社区卫生,澳大利亚居民倒垃圾是有固定的不同种类垃圾回收日的，往往人们会不小心错过倾倒特定种类垃圾的日子。因此该app将这一信息进一步透明化、直观可搜索化来帮助居民了解倒垃圾的日程安排。,
14,美国,西雅图,西雅图人行道(sidewalk)数据集。额外使用了google 海拔API，onebusaway API,政府,创建App,Hackcessible,http://www.accessmapseattle.com/,,交通出行,开放行道数据让残疾人爱上出门,对于要使用轮椅或拐杖出行的人士，人行道的可访问性极为重要，Hackcessible整合了西雅图政府释放的人行道状态数据及额外的google 海拔API等实时动态反应出人行道目前是否处于可使用状态（或是可能在施工、路面破损等）方便这部分人士选择合理路线出行。,http://www.geekwire.com/2015/app-that-helps-people-in-wheelchairs-plan-travel-routes-wins-first-place-at-civic-hackathon/
15,美国,纽约,纽约各工种工资、就业率（行业、地域）预测、就业人数统计三项数据集。详见http://nychired.splashthat.com/,政府,创建App,NYC Hired,http://www.nychired.com/,,就业,看开放数据如何为你发现新的就业机会,传统求职网站往往没有考虑到低收入、低技能人群找工作时特殊的需要，NYC Hired结合了纽约开放数据，提供了针对低收入人群的筛选选项（比如工作是否需要驾照），从而更好帮助用户找到贴合的就业机会,http://realtimejobdata.splashthat.com/
